Company_Code,Company_Name,Metric_Category,Metric_Name,Claimed_Value,Metric_Unit,Claim_Verified,Verification_Details,Discrepancy_Detected,Discrepancy_Level,Trust_Score,Risk_Score,Actual_Environmental_Score,Analysis_Date
TECHM,Tech Mahindra,Social,Employee Turnover Rate,90.0,%,Reported,Social metric: 90.0,False,None,6.0,1,2.0,2026-09-03
TECHM,Tech Mahindra,Social,Training Hours per Employee,,Hours,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TECHM,Tech Mahindra,Social,Health and Safety Incidents,2024.0,Count,Reported,Social metric: 2024.0,False,None,6.0,1,2.0,2026-09-03
TECHM,Tech Mahindra,Social,CSR Expenditure,,Crores INR,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TECHM,Tech Mahindra,Governance,Board Size,10.0,Count,Reported,Governance metric: 10.0,False,None,6.0,1,2.0,2026-09-03
TECHM,Tech Mahindra,Governance,Independent Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TECHM,Tech Mahindra,Governance,Female Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TECHM,Tech Mahindra,Governance,Board Meeting Frequency,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TECHM,Tech Mahindra,Governance,Audit Committee Size,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TECHM,Tech Mahindra,Governance,Ethics Policy Violations,25.0,Count,Reported,Governance metric: 25.0,False,None,6.0,1,2.0,2026-09-03
LTIM,LTIMindtree,Environmental,Total Energy Consumption,25.0,GWh,Reported,Environmental metric: 25.0,False,None,6.0,1,2.0,2026-09-03
LTIM,LTIMindtree,Environmental,Renewable Energy Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTIM,LTIMindtree,Environmental,Total Water Consumption,25.0,KL,Reported,Environmental metric: 25.0,False,None,6.0,1,2.0,2026-09-03
LTIM,LTIMindtree,Environmental,Water Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTIM,LTIMindtree,Environmental,Total Waste Generated,,MT,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTIM,LTIMindtree,Environmental,Waste Recycled Percentage,7.0,%,Reported,Environmental metric: 7.0,False,None,6.0,1,2.0,2026-09-03
LTIM,LTIMindtree,Social,Total Employees,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
