Company_Code,Company_Name,Metric_Category,Metric_Name,Metric_Value,Unit,Page_Number,Verified,Extraction_Method,Confidence_Score,Validation_Status,Needs_Manual_Review,Extraction_Date,Notes
WIPRO,Wipro,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
WIPRO,Wipro,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
WIPRO,Wipro,Governance,Ethics Policy Violations,26.0,Count,5.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: complaints; Within expected range
HCLTECH,HCL Technologies,Environmental,Total Energy Consumption,2030.0,GWh,23.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: electricity; Within expected range
HCLTECH,HCL Technologies,Environmental,Renewable Energy Percentage,50.0,%,23.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: renewable energy; Within expected range
HCLTECH,HCL Technologies,Environmental,Total Water Consumption,,KL,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Environmental,Total Waste Generated,,MT,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Environmental,Waste Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Social,Total Employees,234496.0,Count,5.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: total employees; Within expected range
HCLTECH,HCL Technologies,Social,Female Employee Percentage,40.0,%,23.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: gender diversity; Within expected range
HCLTECH,HCL Technologies,Social,Employee Turnover Rate,90.0,%,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: turnover; Within expected range
HCLTECH,HCL Technologies,Social,Training Hours per Employee,,Hours,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Social,Health and Safety Incidents,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Governance,Board Size,10.0,Count,6.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: board of directors; Within expected range
HCLTECH,HCL Technologies,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
HCLTECH,HCL Technologies,Governance,Ethics Policy Violations,25.0,Count,10.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: complaints; Within expected range
TECHM,Tech Mahindra,Environmental,Total Energy Consumption,1.0,GWh,27.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: total energy; Within expected range
TECHM,Tech Mahindra,Environmental,Renewable Energy Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Environmental,Total Water Consumption,876.33,KL,28.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: total water; Within expected range
TECHM,Tech Mahindra,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
TECHM,Tech Mahindra,Environmental,Total Waste Generated,2024.0,MT,30.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: total waste; Within expected range
